a-fortiori aforsïori
sébum sébom
sécante sékât
sécateur sékater
sécession sésésïô
sécessionniste sésésïonist^
séchage sé/aj
sécher sé/é
sécheresse s%/r%s
séchoir sé/!ar
sécréter sékrété
sécrétion sékrésïô
séculaire sékyl%r
séculariser sékylarizé
séculier sékylïé
séculière sékylïé
sécuriser sékyrizé
sécurité sékyrité
sédatif sédatif
sédentaire sédât%r
sédiment sédimâ
sédimentaire sédimât%r
sédimentation sédimâtasïô
séditieuse sédisïEz
séditieux sédisïE
sédition sédisïô
séducteur sédykter
séduction sédyksïô
séduire séd%ir
séduisant séd%izâ
séduisante séd%izât
ségrégation ségrégasïô
ségrégationniste ségrégasïonist^
séguedille ség^diï
séisme séism^
séjour séjur
séjourner séjurné
sélect sél%kt
sélecte sél%kt^
sélectif sél%ktif
sélection sél%ksïô
sélectionner sél%ksïoné
sélectionneur sél%ksïoner
sélectionneuse sél%ksïonEz
sélectionné sél%ksïoné
sélectionnée sél%ksïoné
sélective sél%ktiv
sélectivité sél%ktivité
sélénium sélénïom
sémantique sémâtik
sémaphore sémafor
sémillant sémiïâ
sémillante sémiïât
séminaire sémin%r
séminal séminal
séminale séminal
séminariste séminarist^
séminaux sémino
sémiologie sémïoloji
sémiologique sémïolojik
sémiotique sémïotik
sémite sémit
sénat séna
sénateur sénater
sénatorial sénatorïal
sénatoriale sénatorïal
sénatoriaux sénatorïo
sénescence sénésâs
sénevé s%nvé
sénile sénil
sénilité sénilité
sénéchal séné/al
sénéchaux séné/o
sépale sépal
séparable séparabl^
séparateur séparater
séparation séparasïô
séparatisme séparatism^
séparatiste séparatist^
séparer séparé
séparément séparémâ
sépia sépïa
sépulcral sépylkral
sépulcrale sépylkral
sépulcraux sépylkro
sépulcre sépylkr^
sépulture sépyltyr
séquelle sék%l
séquence sékâs
séquestration sék%strasïô
séquestre sék%str^
séquestrer sék%stré
séquoia sékoïa
sérac sérak
sérail séraï
séraphin sérafê
séraphique sérafik
séreuse sérEz
séreux sérE
sériciculture sérisikyltyr
série séri
sériel sérï%l
sérielle sérï%l
sérieuse sérïEz
sérieusement sérïEzmâ
sérieux sérïE
sérosité sérozité
sérum sérom
sérénade sérénad
sérénité sérénité
sésame sézam
sévices sévis
sévir sévir
sévère sév%r
sévèrement sév%rmâ
sévérité sévérité
sûr syr
sûre syr
sûrement syrmâ
sûreté syrté
ta ta
tabac taba
tabagie tabaji
tabasser tabasé
tabatière tabatï%r
tabellion tabélïô
tabernacle tab%rnakl^
tablature tablatyr
table tabl^
tableau tablo
tableautin tablotê
tabler tablé
tablette tabl%t
tablier tabliïé
tablée tablé
tabou tabu
taboue tabu
tabouret tabur%
tabulateur tabylater
tabulatrice tabylatris
tac tak
tache ta/
tacher ta/é
tacheter ta/té
tacheté ta/té
tachetée ta/té
tachisme ta/ism^
tachiste ta/ist^
tachycardie takikardi
tacite tasit
tacitement tasitmâ
taciturne tasityrn^
taciturnité tasityrnité
tacot tako
tact takt
tactile taktil
tactique taktik
taenia ténïa
taffetas tafta
taie t%
taillable taïabl^
taillader taïadé
taille taï
taille-crayon taïkr%ïô
taille-crayons taïkr%ïô
taille-douce taïdus
tailler taïé
tailleur taïer
taillis taïi
taillé taïé
taillée taïé
tain tê
taire t%r
talc talk
talent talâ
talentueuse talât%Ez
talentueusement talât%Ezmâ
talentueux talât%E
talion talïô
talisman talismâ
talmud talmyd
talmudique talmydik
taloche talo/
talocher talo/é
talon talô
talonnage talonaj
talonnement talonmâ
talonner taloné
talonnette talon%t
talquer talké
talus taly
talweg talv%g
talé talé
talée talé
tam-tam tamtam
tamanoir taman!ar
tamarin tamarê
tamarinier tamarinïé
tamaris tamaris
tambouille tâbuï
tambour tâbur
tambour-major tâburmajor
tambourin tâburê
tambourinage tâburinaj
tambourinaire tâburin%r
tambourinement tâburinmâ
tambouriner tâburiné
tamis tami
tamisage tamizaj
tamiser tamizé
tampon tâpô
tamponeur tâponer
tamponeuse tâponEz
tamponnement tâponmâ
tamponner tâponé
tan-sad tâsad
tancer tâsé
tanche tâ/
tandem tâd%m
tandis-que tâdik^
tangage tâgaj
tangence tâjâs
tangent tâjâ
tangente tâjât
tangentiel tâjâsï%l
tangentielle tâjâsï%l
tangible tâjibl^
tango tâgo
tanguer tâgé
tanin tanê
tanière tanï%r
tank tâk
tanker tâk%r
tankiste tâkist^
tannage tanaj
tannant tanâ
tannante tanât
tanner tané
tannerie tanri
tanneur taner
tannin tanê
tanné tané
tannée tané
tant tâ
tant-mieux tâmïE
tant-pis tâpi
tante tât
tantine tâtin
tantinet tâtin%
tantième tâtï%m
tantôt tâto
taon tâ
tapage tapaj
tapageur tapajer
tapageuse tapajEz
tapageusement tapajEzmâ
tapant tapâ
tapante tapât
tape tap
tape-cul tapky
tape-à-l'oeil tapaleï
tapecul tapky
tapement tapmâ
taper tapé
tapette tap%t
tapeur taper
tapeuse tapEz
tapinois tapin!a
tapioca tapïoka
tapir tapir
tapis tapi
tapisser tapisé
tapisserie tapisri
tapissier tapisïé
tapissière tapisï%r
tapotement tapotmâ
tapoter tapoté
tapé tapé
tapée tapé
taquet tak%
taquin takê
taquine takin
taquiner takiné
taquinerie takinri
tarabiscoté tarabiskoté
tarabiscotée tarabiskoté
tarabuster tarabysté
tarasque tarask^
taratata taratata
taraud taro
tarauder tarodé
tard tar
tarder tardé
tardif tardif
tardive tardiv
tardivement tardivmâ
tare tar
tarentelle tarât%l
tarentule tarâtyl
tarer taré
targette tarj%t
targuer targé
targui targi
targuie targi
tari tari
tarie tari
tarif tarif
tarifaire tarif%r
tarifer tarifé
tarification tarifikasïô
tarin tarê
tarir tarir
tarissement tarismâ
tarière tarï%r
tarlatane tarlatan
tarot taro
tarse tars^
tarsien tarsïê
tarsienne tarsï%n
tartan tartâ
tartane tartan
tartare tartar
tartarin tartarê
tarte tart^
tartelette tart^l%t
tartine tartin
tartiner tartiné
tartre tartr^
tartufe tartyf
tartuferie tartyfri
tartuffe tartyf
tartufferie tartyfri
taré taré
tarée taré
tas ta
tasse tas
tasseau taso
tassement tasmâ
tasser tasé
taste-vin tast^vê
tata tata
tatane tatan
tatillon tatiïô
tatillonne tatiïon
tatou tatu
tatouage tat!aj
tatouer tat!é
tatoueur tat!er
taudis todi
taule tol
taulier tolïé
taulière tolï%r
taupe top
taupinière topinï%r
taupé topé
taureau toro
taurillon toriïô
taurin torê
taurine torin
tauromachie toroma/i
tauromachique toroma/ik
tautologie totoloji
tautologique totolojik
taux to
tavelure tavlyr
tavelé tavlé
tavelée tavlé
taverne tav%rn^
tavernier tav%rnïé
tavernière tav%rnï%r
taxation taksasïô
taxe taks^
taxer taksé
taxi taksi
taxidermie taksid%rmi
taximètre taksim%tr^
taxinomie taksinomi
taxiphone taksifon
taxonomie taksonomi
taylorisme t%lorism^
taïaut taïo
tchin-tchin t/int/in
tchèque t/%k
te t^
te-deum tédéom
technicien t%knisïê
technicienne t%knisï%n
technicité t%knisité
technique t%knik
techniquement t%knikmâ
technocrate t%knokrat
technocratie t%knokrasi
technocratique t%knokratik
technologie t%knoloji
technologique t%knolojik
teck t%k
teckel ték%l
tectonique t%ktonik
teigne t%N
teigneuse t%NEz
teigneux t%NE
teindre têdr^
teint tê
teinte têt
teinter têté
teinture têtyr
teinturerie têtyrri
teinturier têtyrïé
teinturière têtyrï%r
teinté têté
teintée têté
tek t%k
tel t%l
telle t%l
tellement t%lmâ
tellurique télyrik
tempe tâp
temple tâpl^
templier tâpliïé
tempo têpo
temporaire tâpor%r
temporairement tâpor%rmâ
temporal tâporal
temporale tâporal
temporalité tâporalité
temporaux tâporo
temporel tâpor%l
temporelle tâpor%l
temporellement tâpor%lmâ
temporisateur tâporizater
temporisation tâporizasïô
temporisatrice tâporizatris
temporiser tâporizé
temps tâ
tempérament tâpéramâ
tempérance tâpérâs
tempérant tâpérâ
tempérante tâpérât
température tâpératyr
tempérer tâpéré
tempéré tâpéré
tempérée tâpéré
tempétueuse tâpét%Ez
tempétueux tâpét%E
tempête tâp%t
tempêter tâpété
tenable t^nabl^
tenace t^nas
tenacement t^nasmâ
tenaille t^naï
tenailler t^naïé
tenancier t^nâsïé
tenancière t^nâsï%r
tenant t^nâ
tenante t^nât
tendance tâdâs
tendancieuse tâdâsïEz
tendancieusement tâdâsïEzmâ
tendancieux tâdâsïE
tender tâd%r
tendeur tâder
tendineuse tâdinEz
tendineux tâdinE
tendon tâdô
tendre tâdr^
tendrement tâdr^mâ
tendresse tâdr%s
tendron tâdrô
teneur t^ner
tenir t^nir
tennis ténis
tenon t^nô
tension tâsïô
tentacule tâtakyl
tentant tâtâ
tentante tâtât
tentateur tâtater
tentation tâtasïô
tentative tâtativ
tentatrice tâtatris
tente tât
tenter tâté
tenture tâtyr
tenu t^ny
tenue t^ny
ter t%r
tercet t%rs%
tergal t%rgal
tergiversation t%rjiv%rsasïô
tergiverser t%rjiv%rsé
terme t%rm^
termes t%rm^
terminaison t%rmin%zô
terminal t%rminal
terminale t%rminal
terminaux t%rmino
terminer t%rminé
terminologie t%rminoloji
terminus t%rminys
termite t%rmit
termitière t%rmitï%r
ternaire t%rn%r
terne t%rn^
ternir t%rnir
terrain t%rê
terrasse t%ras
terrassement t%rasmâ
terrasser t%rasé
terrassier t%rasïé
terre t%r
terre-neuvas t%rneva
terre-neuve t%rnev
terre-neuvier t%rnevïé
terre-plein t%rplê
terre-à-terre t%rat%r
terreau t%ro
terrer t%ré
terrestre t%r%str^
terreur t%rer
terreuse t%rEz
terreux t%rE
terrible t%ribl^
terriblement t%ribl^mâ
terrien t%rïê
terrienne t%rï%n
terrier t%rïé
terrifiant t%rifïâ
terrifiante t%rifïât
terrifier t%rifïé
terril t%ri
terrine t%rin
territoire t%rit!ar
territorial t%ritorïal
territoriale t%ritorïal
territoriaux t%ritorïo
terroir t%r!ar
terroriser t%rorizé
terrorisme t%rorism^
terroriste t%rorist^
tertiaire t%rsï%r
tertio t%rsïo
tertre t%rtr^
tessiture tésityr
tesson tésô
test t%st
testament t%stamâ
testamentaire t%stamât%r
testateur t%stater
testatrice t%statris
tester t%sté
testicule t%stikyl
teuf-teuf teftef
teuton tEtô
teutonique tEtonik
teutonne tEton
texte t%kst^
textile t%kstil
textuel t%kst%%l
textuelle t%kst%%l
textuellement t%kst%%lmâ
texture t%kstyr
thalamus talamys
thalassothérapie talasotérapi
thalle tal
thalweg talv%g
thaumaturge tomatyrj^
thermal t%rmal
thermale t%rmal
thermaux t%rmo
thermes t%rm^
thermie t%rmi
thermique t%rmik
thermocautère t%rmokot%r
thermodynamique t%rmodinamik
thermogène t%rmoj%n
thermomètre t%rmom%tr^
thermométrie t%rmométri
thermonucléaire t%rmonyklé%r
thermos t%rmos
thermostat t%rmosta
thermoélectrique t%rmoél%ktrik
thibaude tibod
thomisme tomism^
thomiste tomist^
thon tô
thonier tonïé
thora tora
thoracique torasik
thorax toraks
thorium torïom
thrombose trôboz
thune tyn
thuriféraire tyrifér%r
thuya tyïa
thym tê
thymus timys
thyroïde tiroid
thyroïdien tioridïê
thyroïdienne tioridï%n
thyrse tirs^
thème t%m
thèse t%z
thé té
théier téïé
théisme téism^
théiste téist^
théière téï%r
thématique tématik
théocratie téokrasi
théocratique téokratik
théogonie téogoni
théologale téologal
théologie téoloji
théologien téolojïê
théologique téolojik
théorbe téorb^
théoricien téorisïê
théoricienne téorisï%n
théorie téori
théorique téorik
théoriquement téorikmâ
théorème téor%m
théosophe téozof
théosophie téozofi
thérapeute térapEt
thérapeutique térapEtik
thésaurisation tézorizasïô
thésauriser tézorizé
thésauriseur tézorizer
thésauriseuse tézorizEz
théâtral téatral
théâtrale téatral
théâtralement téatralmâ
théâtraux téatro
théâtre téatr^
tiare tïar
tibia tibïa
tic tik
tic-tac tiktak
ticket tik%
tien tïê
tienne tï%n
tiens tïê
tierce tï%rs^
tiercé tï%rsé
tiercée tï%rsé
tiers tï%r
tif tif
tige tij
tignasse tiNas
tigre tigr^
tigresse tigr%s
tigré tigré
tigrée tigré
tilbury tilbyri
tilde tild^
tillac tiïak
tilleul tiïel
timbale têbal
timbalier têbalïé
timbre têbr^
timbrer têbré
timbré têbré
timbrée têbré
timide timid
timidement timidmâ
timidité timidité
timon timô
timonerie timonri
timonier timonïé
timoré timoré
timorée timoré
tinctorial têktorïal
tinctoriale têktorïal
tinctoriaux têktorïo
tinettes tin%t
tintamarre têtamar
tintement têtmâ
tinter têté
tintinnabulant têtinabylâ
tintinnabulante têtinabylât
tintinnabuler têtinabylé
tintouin têt!ê
tique tik
tiquer tiké
tir tir
tirade tirad
tirage tiraj
tiraillement tiraïmâ
tirailler tiraïé
tirailleur tiraïer
tirant tirâ
tire tir
tire-au-cul tiroky
tire-au-flanc tiroflâ
tire-bouchon tirbu/ô
tire-bouchonner tirbu/oné
tire-d'aile tird%l
tire-fesse tirf%s
tire-jus tirjy
tire-laine tirl%n
tire-larigot tirlarigo
tire-ligne tirliN
tire-nerf tirn%r
tirebouchonner tirbu/oné
tirelire tirlir
tirer tiré
tiret tir%
tirette tir%t
tireur tirer
tireuse tirEz
tiroir tir!ar
tiroir-caisse tir!ark%s
tirée tiré
tisane tizan
tison tizô
tisonner tizoné
tisonnier tizonïé
tissage tisaj
tisser tisé
tisserand tisrâ
tisserande tisrâd
tisseur tiser
tisseuse tisEz
tissu tisy
tissulaire tisyl%r
titan titâ
titane titan
titanesque titan%sk^
titi titi
titillation titilasïô
titiller titilé
titrage titraj
titre titr^
titrer titré
titubant titybâ
titubante titybât
tituber titybé
titulaire tityl%r
titularisation titylarizasïô
titulariser titylarizé
tiède tï%d
tièdement tï%dmâ
tiédasse tïédas
tiédeur tïéder
tiédir tïédir
tiédissement tïédismâ
toast tost
toboggan tobogâ
toc tok
tocade tokad
tocante tokât
tocard tokar
tocarde tokard^
toccata tokata
tocsin toksê
toge toj
tohu-bohu toyboy
toi t!a
toile t!al
toilette t!al%t
toilettes t!al%t
toise t!az
toiser t!azé
toison t!azô
toit t!a
toiture t!atyr
tollé tolé
toluène tol%%n
tolérable tolérabl^
tolérance tolérâs
tolérant tolérâ
tolérante tolérât
tolérer toléré
tom-pouce tompus
tomahawk tomaok
tomaison tom%zô
tomate tomat
tombal tôbal
tombale tôbal
tombant tôbâ
tombante tôbât
tombaux tôbo
tombe tôb
tombeau tôbo
tomber tôbé
tombereau tôbro
tombeur tôber
tombola tôbola
tombée tôbé
tome tom
tomette tom%t
tomme tom
ton tô
tonal tonal
tonale tonal
tonalité tonalité
tonals tonal
tondeuse tôdEz
tondre tôdr^
tondu tôdy
tondue tôdy
tonifiant tonifïâ
tonifiante tonifïât
tonifier tonifïé
tonique tonik
tonitruant tonitr%â
tonitruante tonitr%ât
tonnage tonaj
tonnant tonâ
tonnante tonât
tonne ton
tonneau tono
tonnelet tonl%
tonnelier ton^lïé
tonnelle ton%l
tonner toné
tonnerre ton%r
tonsure tôsyr
tonsurer tôsyré
tonte tôt
tonton tôtô
tonus tonys
top top
topaze topaz
tope top
toper topé
topinambour topinâbur
topique topik
topo topo
topographe topograf
topographie topografi
topographique topografik
topologie topoloji
toponymie toponimi
toquade tokad
toquante tokât
toquard tokar
toquarde tokard^
toque tok
toquer toké
toqué toké
toquée toké
torah tora
torche tor/^
torcher tor/é
torchis tor/i
torchon tor/ô
torchonner tor/oné
torchère tor/%r
torché tor/é
torchée tor/é
tord-boyaux torb!aïo
tordant tordâ
tordante tordâ
tordre tordr^
tordu tordy
tordue tordy
torero toréro
torgnole torNol
toril toril
tornade tornad
toron torô
torpeur torper
torpillage torpiïaj
torpille torpiï
torpiller torpiïé
torpilleur torpiïer
torpédo torpédo
torrent torâ
torrentiel torâsï%l
torrentielle torâsï%l
torrentueuse torât%Ez
torrentueux torât%E
torride torid
torréfacteur toréfakter
torréfaction toréfaksïô
torréfier toréfïé
tors tor
torsade torsad
torsader torsadé
torse tors^
torsion torsïô
tort tor
torticolis tortikoli
tortillard tortiïar
tortiller tortiïé
tortillon tortiïô
tortionnaire torsïon%r
tortue torty
tortueuse tort%Ez
tortueusement tort%Ezmâ
tortueux tort%E
torturant tortyrâ
torturante tortyrât
torture tortyr
torturer tortyré
torve torv^
tory tori
toréador toréador
toréer toréé
total total
totale total
totalement totalmâ
totalisateur totalizater
totalisation totalizasïô
totalisatrice totalizatris
totaliser totalizé
totalitaire totalit%r
totalitarisme totalitarism^
totalité totalité
totaux toto
totem tot%m
toto toto
toton totô
totémique totémik
totémisme totémism^
touage t!aj
touareg t!arég
toubib tubib
touchant tu/â
touchante tu/ât
touche tu/
touche-à-tout tu/atu
toucher tu/é
touer t!é
touffe tuf
touffu tufy
touffue tufy
touiller tuïé
toujours tujur
toundra tundra
toupet tup%
toupie tupi
tour tur
tourbe turb^
tourbillon turbiïô
tourbillonnant turbiïonâ
tourbillonnante turbiïonât
tourbillonnement turbiïonmâ
tourbillonner turbiïoné
tourbière turbï%r
tourelle tur%l
tourier turïé
tourisme turism^
touriste turist^
touristique turistik
tourière turï%r
tourment turmâ
tourmente turmât
tourmenter turmâté
tourmenté turmâté
tourmentée turmâté
tournage turnaj
tournant turnâ
tournante turnât
tourne-disque turn^disk^
tournebouler turn^bulé
tournebroche turn^bro/
tournedos turn^do
tournemain turn^mê
tourner turné
tournesol turn^sol
tourneur turner
tournevis turn^vis
tournicoter turnikoté
tourniquer turniké
tourniquet turnik%
tournis turni
tournoi turn!a
tournoiement turn!amâ
tournoyant turn!aïâ
tournoyante turn!aïât
tournoyer turn!aïé
tournure turnyr
tournée turné
tourte turt^
tourteau turto
tourtereaux turt^ro
tourterelle turt^r%l
tous tu
tous tus
toussailler tusaïé
toussaint tusê
tousser tusé
toussotement tusotmâ
toussoter tusoté
tout tu
tout-fou tufu
tout-petit tup^ti
tout-puissant tup%isâ
tout-venant tuvnâ
tout-à-l'égout tutalégu
toute tut
toute-puissance tutp%isâs
toute-puissante tutp%isât
toutefois tutf!a
toutou tutu
touts tu
toux tu
toxicité toksisité
toxicologie toksikoloji
toxicologique toksikolojik
toxicomane toksikoman
toxicomanie toksikomani
toxine toksin
toxique toksik
trac trak
tracas traka
tracasser trakasé
tracasserie trakasri
tracassier trakasïé
tracassière trakasï%r
trace tras
tracer trasé
trachée tra/é
trachée-artère tra/éart%r
trachéite trakéit
trachéotomie trakéotomi
tract trakt
tractation traktasïô
tracter trakté
tracteur trakter
traction traksïô
tracé trasé
tradition tradisïô
traditionalisme tradisïonalism^
traditionaliste tradisïonalist^
traditionnel tradisïon%l
traditionnelle tradisïon%l
traditionnellement tradisïon%lmâ
traducteur tradykter
traduction tradyksïô
traductrice tradyktris
traduire trad%ir
traduisible trad%izibl^
trafic trafik
traficoter trafikoté
trafiquant trafikâ
trafiquante trafikât
trafiquer trafiké
tragi-comique trajikomik
tragi-comédie trajikomédi
tragique trajik
tragiquement trajikmâ
tragédie trajédi
tragédien trajédïê
tragédienne trajédï%n
trahir trair
trahison traizô
train trê
train-train trêtrê
traire tr%r
trait tr%
trait-d'union tr%dynïô
traitable tr%tabl^
traitant tr%tâ
traite tr%t
traitement tr%tmâ
traiter trété
traiteur tr%ter
traité trété
trajectoire traj%kt!ar
trajet traj%
tralala tralala
tram tram
trame tram
tramer tramé
tramontane tramôtan
tramway tram!%
tranchant trâ/â
tranchante trâ/ât
tranche trâ/
trancher trâ/é
tranchet trâ/%
tranchée trâ/é
tranquille trâkil
tranquillement trâkilmâ
tranquillisant trâkilizâ
tranquilliser trâkilizé
tranquillité trâkilité
transaction trâzaksïô
transalpin trâzalpê
transalpine trâzalpin
transat trâzat
transatlantique trâzatlâtik
transbahutage trâsbaytaj
transbahuter trâsbayté
transbordement trâsbord^mâ
transborder trâsbordé
transbordeur trâsborder
transcendance trâsâdâs
transcendant trâsâdâ
transcendante trâsâdât
transcender trâsâdé
transcontinental trâskôtinâtal
transcontinentale trâskôtinâtal
transcontinentaux trâskôtinâto
transcription trâskripsïô
transcrire trâskrir
transe trâs
transept trâs%pt
transfert trâsf%r
transfiguration trâsfigyrasïô
transfigurer trâsfigyré
transformable trâsformabl^
transformateur trâsformater
transformation trâsformasïô
transformer trâsformé
transformisme trâsformism^
transformiste trâsformist^
transfuge trâsfyj
transfuser trâsfyzé
transfusion trâsfyzïô
transfèrement trâsf%rmâ
transférer trâsféré
transgresser trâsgrésé
transgression trâsgr%sïô
transhumance trâzymâs
transhumant trâzymâ
transhumante trâzymât
transhumer trâzymé
transi trâzi
transie trâzi
transiger trâzijé
transir trâzir
transistor trâzistor
transistoriser trâzistorizé
transit trâzit
transitaire trâzit%r
transiter trâzité
transitif trâzitif
transition trâzisïô
transitive trâzitiv
transitivement trâzitivmâ
transitoire trâzit!ar
translation trâslasïô
translucide trâslysid
translucidité trâslysidité
transmetteur trâsm%ter
transmettre trâsm%tr^
transmissible trâsmisibl^
transmission trâsmisïô
transmuer trâsm%é
transmutation trâsmytasïô
transmuter trâsmyté
transparaître trâspar%tr^
transparence trâsparâs
transparent trâsparâ
transparente trâsparât
transpercer trâsp%rsé
transpiration trâspirasïô
transpirer trâspiré
transplantation trâsplâtasïô
transplanter trâsplâté
transport trâspor
transportable trâsportabl^
transporter trâsporté
transporteur trâsporter
transposable trâspozabl^
transposer trâspozé
transposition trâspozisïô
transsibérien trâsibérïê
transsibérienne trâsibérï%n
transsubstantiation trâssypstâsïasïô
transsuder trâssydé
transvasement trâsvazmâ
transvaser trâsvazé
transversal trâsv%rsal
transversale trâsv%rsal
transversalement trâsv%rsalmâ
transversaux trâsv%rso
transverse trâsv%rs^
transvider trâsvidé
trappe trap
trappeur traper
trappiste trapist^
trapu trapy
trapue trapy
trapèze trap%z
trapéziste trapézist^
trapézoïdal trapézoidal
trapézoïdale trapézoidal
trapézoïdaux trapézoido
traquenard traknar
traquer traké
traumatique tromatik
traumatiser tromatizé
traumatisme tromatism^
traumatologie tromatoloji
travail travaï
travailler travaïé
travailleur travaïer
travailleuse travaïEz
travailliste travaïist^
travailloter travaïoté
travaux travo
traveling travli£
travelling travli£
travers trav%r
traversable trav%rsabl^
traverse trav%rs^
traverser trav%rsé
traversin trav%rsê
traversée trav%rsé
travesti trav%sti
travestie trav%sti
travestir trav%stir
travestissement trav%stismâ
traviole travïol
travée travé
traçage trasaj
traçant trasâ
traçante trasât
traînailler tr%naïé
traînant tr%nâ
traînante tr%nât
traînard tr%nar
traînarde tr%nard^
traînasser tr%nasé
traîne tr%n
traîneau tr%no
traîner tréné
traîneur tr%ner
traîneuse tr%nEz
traînée tréné
traître tr%tr^
traîtreusement tr%trEzmâ
traîtrise trétriz
treillage tr%ïaj
treille tr%ï
treillis tréïi
treize tr%z
treizième tr%zï%m
treizièmement tr%zï%mmâ
tremblant trâblâ
tremblante trâblât
tremble trâbl^
tremblement trâbl^mâ
trembler trâblé
tremblote trâblot
tremblotement trâblotmâ
trembloter trâbloté
tremolo trémolo
trempage trâpaj
trempe trâp
tremper trâpé
trempette trâp%t
tremplin trâplê
trench-coat tr%n/kot
trentaine trât%n
trente trât
trentième trâtï%m
tressaillement trésaïmâ
tressaillir trésaïir
tressautement trésotmâ
tressauter trésoté
tresse tr%s
tresser trésé
treuil treï
tri tri
triage triïaj
triangle triïâgl^
triangulaire triïâgyl%r
triangulation triïâgylasïô
tribal tribal
tribale tribal
tribaux tribo
tribo-électricité triboél%ktrisité
tribo-électrique triboél%ktrik
tribord tribor
tribu triby
tribulation tribylasïô
tribun tribû
tribunal tribynal
tribunaux tribyno
tribune tribyn
tribut triby
tributaire tribyt%r
triche tri/
tricher tri/é
tricherie tri/ri
tricheur tri/er
tricheuse tri/Ez
trichine trikin
trichromie trikromi
tricolore trikolor
tricolores trikolor
tricorne trikorn^
tricot triko
tricotage trikotaj
tricoter trikoté
tricoteur trikoter
tricoteuse trikotEz
trictrac triktrak
tricycle trisikl^
trident tridâ
triennal tri%nal
triennale tri%nal
triennaux tri%no
trier triïé
trieur triïer
trieuse triïEz
trifouiller trifuïé
trigonométrie trigonométri
trigonométrique trigonométrik
trijumeau trijymo
trille triï
trillion trilïô
trilogie triloji
trimbalage trêbalaj
trimbalement trêbalmâ
trimbaler trêbalé
trimballage trêbalaj
trimballement trêbalmâ
trimballer trêbalé
trimer trimé
trimestre trim%str^
trimestriel trim%striï%l
trimestrielle trim%striï%l
trimestriellement trim%striï%lmâ
trimoteur trimoter
tringle trêgl^
trinité trinité
trinquer trêké
trinôme trinom
trio triïo
triolet triïol%
triomphal triïôfal
triomphale triïôfal
triomphalement triïôfalmâ
triomphant triïôfâ
triomphante triïôfât
triomphateur triïôfater
triomphatrice triïôfatris
triomphaux triïôfo
triomphe triïôf
triompher triïôfé
triparti triparti
tripartie triparti
tripartite tripartit
tripatouillage tripatuïaj
tripatouiller tripatuïé
tripatouilleur tripatuïer
tripe trip
triperie tripri
tripette trip%t
tripier tripïé
tripière tripï%r
triple tripl^
tripler triplé
triplées triplé
triplés triplé
triporteur triporter
tripot tripo
tripotage tripotaj
tripoter tripoté
tripoteur tripoter
tripoteuse tripotEz
tripotée tripoté
triptyque triptik
trique trik
trirème trir%m
trisaïeul trizaïel
trisaïeule trizaïel
triste trist^
tristement trist^mâ
tristesse trist%s
triton tritô
trituration trityrasïô
triturer trityré
triumvir triïomvir
triumvirat triïomvira
trivial trivïal
triviale trivïal
trivialement trivïalmâ
trivialité trivïalité
triviaux trivïo
trièdre tri%dr^
trière tri%r
troc trok
troglodyte troglodit
trogne troN
trognon troNô
trois tr!a
trois-mâts tr!ama
trois-points tr!ap!ê
trois-quarts tr!akar
troisième tr!azï%m
troisièmement tr!azï%mmâ
trolley trol%
trolleybus trol%bys
trombe trôb
trombine trôbin
tromblon trôblô
trombone trôbon
trompe trôp
trompe-l'oeil trôpleï
tromper trôpé
tromperie trôpri
trompette trôp%t
trompettiste trôpétist^
trompeur trôper
trompeuse trôpEz
trompeusement trôpEzmâ
tronc trô
tronche trô/
tronconique trôkonik
tronquer trôké
tronçon trôsô
tronçonnage trôsonaj
tronçonner trôsoné
tronçonneuse trôsonEz
trop tro
trop-plein troplê
trope trop
trophée trofé
tropical tropikal
tropicale tropikal
tropicaux tropiko
tropique tropik
tropisme tropism^
troquer troké
troquet trok%
trot tro
trotte trot
trotter troté
trotteur troter
trotteuse trotEz
trottiner trotiné
trottinette trotin%t
trottoir trot!ar
trou tru
troubadour trubadur
troublant trublâ
troublante trublât
trouble trubl^
trouble-fête trubl^f%t
troubler trublé
trouer trué
troufion trufïô
trouillard truïar
trouillarde truïard^
trouille truï
troupe trup
troupeau trupo
troupier trupïé
trousse trus
trousseau truso
trousser trusé
trouvaille truvaï
trouver truvé
trouvère truv%r
trouée trué
troène tro%n
troïka troika
truand tryâ
truande tryâd
truander tryâdé
trublion trybliïô
truc tryk
trucage trykaj
truchement try/mâ
trucider trysidé
truculence trykylâs
truculent trykylâ
truculente trykylât
truelle try%l
truffe tryf
truffer tryfé
truie tr%i
truisme tryism^
truite tr%it
trumeau trymo
truquage trykaj
truquer tryké
truqueur tryker
truqueuse trykEz
trust trest
truster tresté
trèfle tr%fl^
très tr%
trébuchant tréby/â
trébuchante tréby/ât
trébucher tréby/é
trébuchet tréby/%
tréfilage tréfilaj
tréfiler tréfilé
tréfilerie tréfilri
tréfonds tréfô
tréma tréma
trémie trémi
trémière trémï%r
trémolo trémolo
trémoussement trémusmâ
trémousser trémusé
trépan trépâ
trépanation trépanasïô
trépaner trépané
trépas trépa
trépasser trépasé
trépidant trépidâ
trépidante trépidât
trépidation trépidasïô
trépider trépidé
trépied trépïé
trépignement trépiNmâ
trépigner trépiNé
trésor trézor
trésorerie trézorri
trésorier trézorïé
trésorière trézorï%r
tréteau tréto
trêve tr%v
trône tron
trôner troné
tsar tsar
tsarine tsarin
tsarisme tsarism^
tsariste tsarist^
